instance: p01
evolve-10-population-200-tournament-group-25-crossover-1.0-mutation-0.5 3961.4289761425007 8.146528715172195
evolve-10-population-200-tournament-group-5-crossover-1.0-mutation-0.1 3962.583167335997 8.17803799422326
evolve-10-population-200-tournament-group-10-crossover-0.6-mutation-0.5 3963.3765207669003 8.199696446290233
evolve-10-population-200-tournament-group-10-crossover-0.8-mutation-0.5 3964.6745212276314 8.235131700826955
evolve-10-population-200-tournament-group-5-crossover-1.0-mutation-0.5 3966.487281727498 8.284619841756196
evolve-10-population-200-tournament-group-25-crossover-0.6-mutation-0.2 3966.804579098314 8.293282021346158
evolve-10-population-200-tournament-group-10-crossover-0.6-mutation-0.2 3970.647782744092 8.398201012937207

instance: p11
evolve-10-population-200-tournament-group-25-crossover-0.8-mutation-0.5 3871.5320747174783 8.928981501147334
evolve-10-population-200-tournament-group-5-crossover-0.6-mutation-0.5 3886.4794973371536 9.349540466075268
evolve-10-population-200-tournament-group-5-crossover-0.8-mutation-0.5 3889.2740246242915 9.428166964652647
evolve-10-population-200-tournament-group-10-crossover-0.6-mutation-0.2 3889.67305919226 9.4393941553962
evolve-10-population-200-tournament-group-5-crossover-1.0-mutation-0.0 3890.7505005493695 9.469708921590069
evolve-10-population-200-tournament-group-10-crossover-1.0-mutation-0.5 3893.39072701666 9.543994030033943
evolve-10-population-200-tournament-group-10-crossover-1.0-mutation-0.0 3894.0123511648885 9.561483975625563
evolve-10-population-200-tournament-group-10-crossover-0.8-mutation-0.5 3894.303419217848 9.569673432911344
evolve-10-population-200-tournament-group-5-crossover-0.8-mutation-0.2 3895.0620957327483 9.591019468140288
evolve-10-population-200-tournament-group-2-crossover-0.6-mutation-0.2 3895.166378623625 9.59395355957281

instance: p12
evolve-10-population-200-tournament-group-5-crossover-0.6-mutation-0.0 1318.9548983110476 0.00037137958584310127
evolve-10-population-200-tournament-group-10-crossover-0.8-mutation-0.5 1318.9548983110476 0.00037137958584310127
evolve-10-population-200-tournament-group-5-crossover-0.6-mutation-0.2 1318.9548983110476 0.00037137958584310127
evolve-10-population-200-tournament-group-5-crossover-1.0-mutation-0.1 1318.9548983110476 0.00037137958584310127
evolve-10-population-200-tournament-group-25-crossover-0.6-mutation-0.2 1318.9548983110476 0.00037137958584310127
evolve-10-population-200-tournament-group-2-crossover-0.8-mutation-0.1 1318.9548983110476 0.00037137958584310127
evolve-10-population-200-tournament-group-10-crossover-0.6-mutation-0.0 1318.9548983110476 0.00037137958584310127
evolve-10-population-200-tournament-group-2-crossover-0.6-mutation-0.5 1318.9548983110476 0.00037137958584310127
evolve-10-population-200-tournament-group-10-crossover-0.6-mutation-0.5 1318.9548983110476 0.00037137958584310127
evolve-10-population-200-tournament-group-25-crossover-0.8-mutation-0.1 1318.9548983110476 0.00037137958584310127

instance: p13
evolve-10-population-200-tournament-group-5-crossover-0.6-mutation-0.0 1318.9548983110476 0.00037137958584310127
evolve-10-population-200-tournament-group-10-crossover-0.8-mutation-0.5 1318.9548983110476 0.00037137958584310127
evolve-10-population-200-tournament-group-5-crossover-0.6-mutation-0.2 1318.9548983110476 0.00037137958584310127
evolve-10-population-200-tournament-group-2-crossover-0.8-mutation-0.2 1318.9548983110476 0.00037137958584310127
evolve-10-population-200-tournament-group-25-crossover-0.6-mutation-0.2 1318.9548983110476 0.00037137958584310127
evolve-10-population-200-tournament-group-2-crossover-0.8-mutation-0.1 1318.9548983110476 0.00037137958584310127
evolve-10-population-200-tournament-group-10-crossover-0.6-mutation-0.0 1318.9548983110476 0.00037137958584310127
evolve-10-population-200-tournament-group-2-crossover-0.6-mutation-0.5 1318.9548983110476 0.00037137958584310127
evolve-10-population-200-tournament-group-10-crossover-0.6-mutation-0.5 1318.9548983110476 0.00037137958584310127
evolve-10-population-200-tournament-group-25-crossover-0.8-mutation-0.1 1318.9548983110476 0.00037137958584310127

instance: p14
evolve-10-population-200-tournament-group-5-crossover-0.6-mutation-0.0 1365.685424949238 0.40918631806297867
evolve-10-population-200-tournament-group-10-crossover-0.8-mutation-0.5 1365.685424949238 0.40918631806297867
evolve-10-population-200-tournament-group-5-crossover-0.6-mutation-0.2 1365.685424949238 0.40918631806297867
evolve-10-population-200-tournament-group-2-crossover-0.8-mutation-0.2 1365.685424949238 0.40918631806297867
evolve-10-population-200-tournament-group-25-crossover-0.6-mutation-0.2 1365.685424949238 0.40918631806297867
evolve-10-population-200-tournament-group-2-crossover-0.8-mutation-0.1 1365.685424949238 0.40918631806297867
evolve-10-population-200-tournament-group-10-crossover-0.6-mutation-0.0 1365.685424949238 0.40918631806297867
evolve-10-population-200-tournament-group-2-crossover-0.6-mutation-0.5 1365.685424949238 0.40918631806297867
evolve-10-population-200-tournament-group-10-crossover-1.0-mutation-0.0 1365.685424949238 0.40918631806297867
evolve-10-population-200-tournament-group-25-crossover-0.8-mutation-0.1 1365.685424949238 0.40918631806297867

instance: p15
evolve-10-population-200-tournament-group-25-crossover-1.0-mutation-0.5 2569.2896764215966 2.549260260618837
evolve-10-population-200-tournament-group-25-crossover-0.6-mutation-0.1 2569.663923825386 2.5641977722452225
evolve-10-population-200-tournament-group-25-crossover-1.0-mutation-0.0 2569.7644457151832 2.568209949436948
evolve-10-population-200-tournament-group-25-crossover-0.8-mutation-0.2 2570.4910706978785 2.5972120721427387
evolve-10-population-200-tournament-group-25-crossover-0.8-mutation-0.1 2570.5138100388194 2.598119678090683
evolve-10-population-200-tournament-group-25-crossover-1.0-mutation-0.1 2570.6512390999883 2.6036049484712436
evolve-10-population-200-tournament-group-10-crossover-0.8-mutation-0.1 2571.9430202369003 2.655164413028558
evolve-10-population-200-tournament-group-25-crossover-1.0-mutation-0.2 2573.5179908585274 2.7180269519093514
evolve-10-population-200-tournament-group-10-crossover-1.0-mutation-0.0 2574.1603551669523 2.743665938922504
evolve-10-population-200-tournament-group-10-crossover-1.0-mutation-0.5 2574.4726070091874 2.7561289927112966

instance: p16
evolve-10-population-200-tournament-group-25-crossover-0.8-mutation-0.1 2575.0748297240143 0.11059779739814246
evolve-10-population-200-tournament-group-10-crossover-1.0-mutation-0.2 2575.1145245503726 0.11214100412377093
evolve-10-population-200-tournament-group-10-crossover-1.0-mutation-0.1 2575.333191090354 0.1206420534071242
evolve-10-population-200-tournament-group-25-crossover-0.8-mutation-0.2 2575.333191090354 0.1206420534071242
evolve-10-population-200-tournament-group-25-crossover-1.0-mutation-0.5 2575.372885916712 0.12218526013272424
evolve-10-population-200-tournament-group-25-crossover-0.6-mutation-0.5 2575.372885916712 0.12218526013272424
evolve-10-population-200-tournament-group-25-crossover-1.0-mutation-0.0 2575.6312472830514 0.13222951614169176
evolve-10-population-200-tournament-group-10-crossover-1.0-mutation-0.5 2575.6312472830514 0.13222951614169176
evolve-10-population-200-tournament-group-25-crossover-0.8-mutation-0.0 2575.6312472830514 0.13222951614169176
evolve-10-population-200-tournament-group-25-crossover-0.6-mutation-0.2 2575.631247283052 0.13222951614170597

instance: p17
evolve-10-population-200-tournament-group-5-crossover-0.6-mutation-0.0 2731.370849898477 0.8224477554631449
evolve-10-population-200-tournament-group-10-crossover-0.8-mutation-0.5 2731.370849898477 0.8224477554631449
evolve-10-population-200-tournament-group-5-crossover-0.6-mutation-0.2 2731.370849898477 0.8224477554631449
evolve-10-population-200-tournament-group-5-crossover-1.0-mutation-0.1 2731.370849898477 0.8224477554631449
evolve-10-population-200-tournament-group-25-crossover-0.6-mutation-0.2 2731.370849898477 0.8224477554631449
evolve-10-population-200-tournament-group-2-crossover-0.8-mutation-0.1 2731.370849898477 0.8224477554631449
evolve-10-population-200-tournament-group-10-crossover-0.6-mutation-0.0 2731.370849898477 0.8224477554631449
evolve-10-population-200-tournament-group-2-crossover-0.6-mutation-0.5 2731.370849898477 0.8224477554631449
evolve-10-population-200-tournament-group-10-crossover-0.6-mutation-0.5 2731.370849898477 0.8224477554631449
evolve-10-population-200-tournament-group-25-crossover-0.8-mutation-0.1 2731.370849898477 0.8224477554631449

instance: p18
evolve-10-population-200-tournament-group-25-crossover-1.0-mutation-0.5 3862.125042078452 4.3014176128779695
