#individual_index individual_rank segment_count deviation connectivity
106 0 2 955407.07361 391.66667
107 0 37 328914.60822 2684.66667
108 0 27 338826.74841 2138.50000
109 0 8 397002.59231 1395.83333
110 0 2 616046.30101 752.33333
111 0 2 1082478.77341 48.50000
112 0 3 1081684.29425 54.33333
113 0 5 498232.96223 983.33333
114 0 5 990552.05589 292.16667
115 0 5 614730.35155 785.66667
116 0 4 615368.43735 767.83333
117 0 20 352080.95345 1871.66667
118 0 5 451198.32055 1094.83333
119 0 8 410548.31498 1305.66667
120 0 4 468821.13706 1026.16667
121 0 18 345423.22722 1953.50000
122 0 32 334592.39543 2305.83333
123 0 15 357871.88459 1732.66667
124 0 4 835971.24505 627.00000
125 0 2 623890.70523 735.66667
126 0 4 912878.94556 514.83333
127 0 5 1075095.78392 109.83333
128 0 9 374833.91287 1545.33333
129 0 5 906080.26835 541.50000
130 0 28 334745.16234 2286.66667
131 0 9 390809.84510 1481.66667
132 0 7 398218.12960 1360.33333
133 0 5 452520.38974 1091.00000
134 0 4 469601.28968 1022.33333
135 0 4 1064609.25070 125.16667
136 0 5 991355.04726 282.00000
137 0 38 328204.57644 2701.83333
138 0 8 430465.09070 1247.66667
139 0 6 442675.61484 1164.00000
140 0 5 898443.56535 586.66667
141 0 20 343944.78082 2009.16667
142 0 5 463607.66445 1072.83333
143 0 5 467524.49784 1052.50000
144 0 2 915143.88556 488.66667
145 0 2 588945.73329 821.66667
146 0 3 768433.47650 645.91667
147 0 4 1000164.99474 239.66667
148 0 27 338826.74841 2138.50000
149 0 24 339145.07873 2105.66667
150 0 25 337795.30126 2184.66667
151 0 7 407644.52537 1317.16667
152 0 4 1000736.27858 226.16667
153 0 23 339626.71741 2082.16667
154 0 5 524486.16157 906.66667
155 0 31 334464.16613 2323.16667
156 0 10 368652.07038 1567.50000
157 0 27 335705.30200 2248.33333
158 0 3 668968.96250 703.50000
159 0 5 467524.49784 1052.50000
160 0 3 506353.29652 941.00000
161 0 6 463401.62934 1074.66667
162 0 2 1083163.75641 20.16667
163 0 5 979383.98678 360.83333
164 0 6 435950.83709 1208.66667
165 0 8 438859.37864 1190.33333
166 0 16 350828.51162 1879.66667
167 0 30 335398.24591 2271.50000
168 0 3 838715.11806 613.66667
169 0 4 672605.72018 698.58333
170 0 4 1011154.70201 179.66667
171 0 3 536652.81703 843.66667
172 0 10 391599.37263 1476.50000
173 0 6 436692.17340 1204.83333
174 0 11 390193.17904 1508.33333
175 0 25 337018.32802 2209.00000
176 0 18 344244.63348 1965.33333
177 0 6 988344.15952 332.33333
178 0 8 393661.70630 1438.00000
179 0 7 407628.16888 1327.33333
